Sample_name,Collection_date,Location_ID,Neighborhood,Latitude,Longitude
EG0001_15,12/15/15,EG0001,Elm_Grove,43.059194,-88.088417
EG0001_16,12/16/15,EG0001,Elm_Grove,43.059194,-88.088417
EG0002_15,12/15/15,EG0002,Elm_Grove,43.051197,-88.066911
EG0002_16,12/16/15,EG0002,Elm_Grove,43.051197,-88.066911
EG0003_15,12/15/15,EG0003,Elm_Grove,43.046139,-88.090972
EG0003_16,12/16/15,EG0003,Elm_Grove,43.046139,-88.090972
MINORTH1_15,12/15/15,MINORTH1,Mke_North,43.108488,-87.934094
MINORTH1_16,12/16/15,MINORTH1,Mke_North,43.108488,-87.934094
MINORTH2_15,12/15/15,MINORTH2,Mke_North,43.108618,-87.944102
MINORTH2_16,12/16/15,MINORTH2,Mke_North,43.108618,-87.944102
MINORTH3_15,12/15/15,MINORTH3,Mke_North,43.085571,-87.972281
MINORTH3_16,12/16/15,MINORTH3,Mke_North,43.085571,-87.972281
MISOUTH1_15,12/15/15,MISOUTH1,Mke_South,43.020373,-87.926796
MISOUTH1_17,12/17/15,MISOUTH1,Mke_South,43.020373,-87.926796
MISOUTH2_15,12/15/15,MISOUTH2,Mke_South,43.017306,-87.923972
MISOUTH2_17,12/17/15,MISOUTH2,Mke_South,43.017306,-87.923972
MISOUTH3_15,12/15/15,MISOUTH3,Mke_South,42.999472,-87.927278
MISOUTH3_17,12/17/15,MISOUTH3,Mke_South,42.999472,-87.927278
NB0001_15,12/15/15,NB0001,New_Berlin,43.009472,-88.0675
NB0001_16,12/16/15,NB0001,New_Berlin,43.009472,-88.0675
NB0002_15,12/15/15,NB0002,New_Berlin,42.990768,-88.093917
NB0002_16,12/16/15,NB0002,New_Berlin,42.990768,-88.093917
NB0003_15,12/15/15,NB0003,New_Berlin,43.006556,-88.099361
NB0003_16,12/16/15,NB0003,New_Berlin,43.006556,-88.099361